mepid,mep,result,group,identifier
5682,Ali,for,ALDE,52472
6407,Arthuis,for,ALDE,52472
6400,Auštrevičius,for,ALDE,52472
6097,van Baalen,for,ALDE,52472
6110,Bearder,for,ALDE,52472
6646,Becerra Basterrechea,for,ALDE,52472
6089,Bilbao Barandica,for,ALDE,52472
6708,Calvet Chambon,for,ALDE,52472
6339,Charanzová,for,ALDE,52472
6226,De Backer,for,ALDE,52472
1060,Deprez,for,ALDE,52472
4758,de Sarnez,for,ALDE,52472
6439,Diaconu,for,ALDE,52472
6340,Dlabajová,for,ALDE,52472
6679,Faria,for,ALDE,52472
6601,Federley,for,ALDE,52472
6098,Gerbrandy,for,ALDE,52472
6658,Girauta Vidal,for,ALDE,52472
1793,Goerens,for,ALDE,52472
6169,Goulard,for,ALDE,52472
5330,Griesbeck,for,ALDE,52472
6379,Grigule,for,ALDE,52472
6397,Guoga,for,ALDE,52472
5246,Harkin,for,ALDE,52472
6622,Huitema,for,ALDE,52472
5681,Hyusmenova,for,ALDE,52472
5385,in 't Veld,for,ALDE,52472
5433,Jäätteenmäki,for,ALDE,52472
6388,Jakovčić,for,ALDE,52472
6338,Ježek,for,ALDE,52472
6328,Kallas,for,ALDE,52472
6504,Kyuchyuk,for,ALDE,52472
5362,Lambsdorff,for,ALDE,52472
6376,Marinho e Pinto,for,ALDE,52472
6645,Maura Barandiarán,for,ALDE,52472
6041,Meissner,for,ALDE,52472
5857,Michel,for,ALDE,52472
6690,Mihaylova,for,ALDE,52472
6626,van Miltenburg,for,ALDE,52472
6631,Mlinar,for,ALDE,52472
6500,Müller,for,ALDE,52472
6614,Nart,for,ALDE,52472
5997,Nicolai,for,ALDE,52472
6621,van Nieuwenhuizen,for,ALDE,52472
6705,Paet,for,ALDE,52472
4693,Paulsen,for,ALDE,52472
6510,Petersen,for,ALDE,52472
6266,Radoš,for,ALDE,52472
4676,Ries,for,ALDE,52472
6056,Riquet,for,ALDE,52472
5890,Rohde,for,ALDE,52472
6100,Schaake,for,ALDE,52472
5435,Takkula,for,ALDE,52472
6337,Telička,for,ALDE,52472
6042,Theurer,for,ALDE,52472
6331,Toom,for,ALDE,52472
6518,Tørnæs,for,ALDE,52472
6281,Torvalds,for,ALDE,52472
6181,Tremosa i Balcells,for,ALDE,52472
