mepid,mep,result,group,identifier
5682,Ali,for,ALDE,2017-10-04_10.
6407,Arthuis,for,ALDE,2017-10-04_10.
6400,Auštrevičius,for,ALDE,2017-10-04_10.
6097,van Baalen,for,ALDE,2017-10-04_10.
6110,Bearder,for,ALDE,2017-10-04_10.
6646,Becerra Basterrechea,for,ALDE,2017-10-04_10.
6089,Bilbao Barandica,for,ALDE,2017-10-04_10.
6708,Calvet Chambon,for,ALDE,2017-10-04_10.
5328,Cavada,for,ALDE,2017-10-04_10.
6339,Charanzová,for,ALDE,2017-10-04_10.
4761,Cornillet,for,ALDE,2017-10-04_10.
1060,Deprez,for,ALDE,2017-10-04_10.
6439,Diaconu,for,ALDE,2017-10-04_10.
6340,Dlabajová,for,ALDE,2017-10-04_10.
6601,Federley,for,ALDE,2017-10-04_10.
6098,Gerbrandy,for,ALDE,2017-10-04_10.
6724,Giménez Barbat,for,ALDE,2017-10-04_10.
5330,Griesbeck,for,ALDE,2017-10-04_10.
6379,Grigule-Pēterse,for,ALDE,2017-10-04_10.
5246,Harkin,for,ALDE,2017-10-04_10.
6622,Huitema,for,ALDE,2017-10-04_10.
5681,Hyusmenova,for,ALDE,2017-10-04_10.
5385,in 't Veld,for,ALDE,2017-10-04_10.
5433,Jäätteenmäki,for,ALDE,2017-10-04_10.
6388,Jakovčić,for,ALDE,2017-10-04_10.
6338,Ježek,for,ALDE,2017-10-04_10.
6328,Kallas,for,ALDE,2017-10-04_10.
6504,Kyuchyuk,for,ALDE,2017-10-04_10.
5889,Løkkegaard,for,ALDE,2017-10-04_10.
6376,Marinho e Pinto,for,ALDE,2017-10-04_10.
6402,Mazuronis,for,ALDE,2017-10-04_10.
5857,Michel,for,ALDE,2017-10-04_10.
6690,Mihaylova,for,ALDE,2017-10-04_10.
6626,van Miltenburg,for,ALDE,2017-10-04_10.
6631,Mlinar,for,ALDE,2017-10-04_10.
6614,Nart,for,ALDE,2017-10-04_10.
5997,Nicolai,for,ALDE,2017-10-04_10.
6621,van Nieuwenhuizen,for,ALDE,2017-10-04_10.
6705,Paet,for,ALDE,2017-10-04_10.
6510,Petersen,for,ALDE,2017-10-04_10.
